#{"t_start": 1727647854.4615552, "env_id": "None"}
r,l,t
0.0,14,7.250004
-1.0,17,7.257867
-1.0,26,7.269887
-1.0,10,7.274639
-1.0,22,7.284817
-1.0,3,7.286242
-1.0,10,7.290901
0.0,13,7.534196
-1.0,11,7.540733
3.0,29,7.557092
-1.0,31,7.57325
0.0,15,7.581201
0.0,2,7.582222
0.0,42,7.60333
0.0,17,7.611423
0.0,4,7.61337
0.0,5,7.61582
-1.0,7,7.619148
-1.0,8,7.622965
-1.0,4,7.624907
0.0,4,7.626859
0.0,6,7.629753
0.0,2,7.630762
0.0,9,7.635054
0.0,5,7.637511
-1.0,7,7.640869
-1.0,6,7.64376
0.0,19,7.652749
0.0,14,8.077592
0.0,12,8.083356
-1.0,7,8.086688
0.0,11,8.091838
0.0,5,8.094227
0.0,26,8.106294
0.0,4,8.108217
-1.0,4,8.110116
-1.0,9,8.114352
0.0,20,8.123874
0.0,10,8.12856
0.0,3,8.130031
0.0,7,8.133353
0.0,12,8.13902
0.0,8,8.142826
0.0,7,8.146139
0.0,24,8.157408
0.0,6,8.1603
0.0,18,8.168843
-1.0,15,8.175833
0.0,3,8.177292
-1.0,11,8.182551
1.0,32,8.197942
0.0,5,8.200365
0.0,5,8.202797
-1.0,12,8.209521
-1.0,32,8.224458
0.0,7,8.227762
-1.0,11,8.232887
-1.0,18,8.2414
-1.0,18,8.249759
0.0,9,8.254022
0.0,4,8.255983
0.0,12,8.26164
1.0,24,8.272948
1.0,12,8.278619
0.0,5,8.280997
0.0,14,8.287561
0.0,10,8.292351
0.0,9,8.296597
1.0,14,8.303157
0.0,6,8.306059
-1.0,3,8.307488
0.0,10,8.312214
0.0,7,8.315508
1.0,13,8.321567
-1.0,6,8.324403
0.0,5,8.326775
0.0,4,8.328675
-1.0,4,8.330563
-1.0,5,8.332924
0.0,3,8.334359
0.0,7,8.337654
0.0,6,8.340478
-1.0,12,8.346145
0.0,3,8.347685
-1.0,8,8.351524
-1.0,5,8.353978
4.0,43,8.373913
-1.0,5,8.376261
-1.0,4,8.378171
2.0,17,8.386239
-1.0,5,8.388685
0.0,8,8.392487
0.0,11,8.397627
0.0,10,8.402332
0.0,13,8.408407
0.0,28,8.421516
2.0,10,8.426242
2.0,19,8.43525
0.0,4,8.437157
-1.0,4,8.439048
3.0,28,8.452155
0.0,7,8.455475
-1.0,7,8.458767
0.0,4,8.460712
-1.0,13,8.466932
0.0,8,8.470765
1.0,14,8.477319
0.0,22,8.487526
0.0,8,8.491307
0.0,11,8.496462
1.0,41,8.51556
1.0,13,8.521638
-1.0,8,8.525387
0.0,16,8.532828
-1.0,5,8.535205
0.0,4,8.537123
0.0,7,8.540453
0.0,12,8.546339
0.0,4,8.548281
-1.0,4,8.550205
0.0,11,8.555913
-1.0,38,8.574004
0.0,4,8.575933
0.0,6,8.578811
-1.0,5,8.58116
-1.0,3,8.582604
0.0,20,8.591895
1.0,14,8.598409
0.0,10,8.603098
0.0,6,8.605945
0.0,20,8.61524
0.0,7,8.618573
3.0,28,8.631527
2.0,11,8.636726
0.0,14,8.643211
-1.0,21,8.652985
-1.0,4,8.654896
2.0,26,8.667336
-1.0,5,8.669712
0.0,3,8.671179
1.0,17,8.679264
-1.0,5,8.681762
0.0,5,8.684204
0.0,6,8.687047
1.0,7,8.690438
0.0,6,8.693469
0.0,7,8.696906
0.0,15,8.704118
0.0,19,8.714139
-1.0,9,8.71843
0.0,6,8.721272
0.0,5,8.723643
0.0,7,8.726921
1.0,4,8.728853
1.0,16,8.73633
0.0,7,8.739637
0.0,10,8.744981
1.0,12,8.750861
1.0,17,8.758825
-1.0,6,8.761663
0.0,9,8.76592
0.0,3,8.767425
0.0,13,8.773572
-1.0,4,8.775484
0.0,5,8.777921
0.0,3,8.779448
-1.0,6,8.782421
-1.0,16,8.789959
0.0,10,8.794671
-1.0,6,8.79754
-1.0,5,8.799926
0.0,4,8.80194
0.0,4,8.803875
0.0,42,8.823397
1.0,5,8.825874
0.0,19,8.834777
-1.0,10,8.839456
0.0,5,8.841861
0.0,7,8.845159
0.0,21,8.854966
-1.0,8,8.85873
1.0,9,8.863067
0.0,12,8.868644
-1.0,4,8.870567
0.0,6,8.873381
0.0,2,8.874387
0.0,3,8.875844
-1.0,6,8.878708
0.0,4,8.880703
0.0,7,8.884003
0.0,6,8.886843
0.0,5,8.889205
1.0,13,8.895315
0.0,3,8.896806
0.0,5,8.899183
-1.0,11,8.904392
0.0,9,8.908606
0.0,6,8.911479
2.0,16,8.918972
-1.0,16,8.926402
1.0,7,8.929749
1.0,50,8.953276
-1.0,7,8.956542
0.0,12,8.962155
-1.0,6,8.965015
0.0,11,8.970258
0.0,7,8.973607
0.0,27,8.986212
0.0,3,8.987703
0.0,16,8.995201
2.0,9,8.999638
-1.0,4,9.001539
0.0,10,9.0063
0.0,13,9.012762
-1.0,9,9.01705
0.0,10,9.021847
0.0,7,9.025245
0.0,9,9.029555
1.0,8,9.033431
1.0,19,9.042555
0.0,3,9.044095
0.0,13,9.453765
2.0,21,9.466319
-1.0,6,9.472205
0.0,5,9.476082
-1.0,5,9.478769
0.0,10,9.484558
0.0,6,9.487598
0.0,13,9.49412
-1.0,8,9.498221
-1.0,11,9.503832
1.0,19,9.513309
1.0,26,9.526505
0.0,19,9.535808
0.0,14,9.542828
0.0,27,9.556111
0.0,9,9.561321
0.0,8,9.565299
-1.0,6,9.568384
0.0,7,9.571893
0.0,5,9.574423
0.0,5,9.576936
0.0,7,9.580392
0.0,3,9.581888
0.0,7,9.585264
1.0,9,9.589588
2.0,25,9.60249
0.0,7,9.605806
